,mat1_abssum,mat1_squaresum,mat2_abssum,mat2_squaresum
0,711.753,22909.6,1380.06,86315
1,717.059,22681.6,1687.95,115903
2,670.672,21031.2,1583.01,104191
3,849.115,29498.6,1532.56,107596
4,805.558,28661.8,1804,133291
5,752.597,24887,1501.83,100136
6,818.157,28058,1720.62,124894
7,764.759,25749.5,1604.79,111128
8,628.347,18702.9,1703.79,113842
9,620.619,18484.9,1359.19,79511.4
10,750.075,24295.7,1344.42,84168.7
11,641.396,18501,1286.01,72533.7
12,673.166,20319.7,1589.94,104215
13,648.794,19945.3,1260.27,71384
14,575.695,16051.4,1408.77,82059.8
15,674.884,20715.8,1433.52,89191.2
16,830.478,28510,1417.68,95839.8
17,679.101,20963.1,1528.56,98556.7
18,697.933,22711.5,1706.76,117836
19,744.291,24167,1511.73,100024
20,851.549,30091.5,1326.6,88204.9
21,703.689,21496.5,1416.69,88318.7
22,871.897,31128.5,1188.8,75550.8
23,711.524,21725,1652.31,111635
24,657.969,18059,1727.55,115405
25,844.461,30452,1181.87,73830.9
26,794.454,26499.6,1420.58,93270.9
27,704.246,22023.6,1503.81,97240.5
28,674.019,21403.4,1661.22,112384
29,709.317,22189.1,1392.93,86845.8
30,728.564,25496.8,1364.22,87282.4
31,747.296,23466.3,1295.91,78514.4
32,769.491,26120.6,1487.97,100045
33,629.794,18237.2,1689.93,111808
34,696.186,22098.6,1330.56,80557.8
35,744.947,25304.1,1652.31,115061
36,620.747,20102.7,1591.92,104099
37,743.839,25464.9,1660.23,116131
38,677.051,21604.6,1254.33,72448.2
39,779.819,25864.8,1594.89,110053
40,768.061,26595.1,1507.77,102146
41,752.125,26726.4,1553.37,106651
42,828.057,28753.3,1487.97,102319
43,733.98,23805,1260.27,74994
44,726.889,23032.3,1667.16,114367
45,719.101,23806.3,1402.78,89238
46,893.348,32463.6,1697.85,126752
47,724.735,23886.4,1390.95,87957.6
48,774.509,25527.2,1581.03,108245
49,678.459,19434.4,1509.75,95532.3
50,793.691,27082,1306.8,82894.2
51,872.387,31097.7,1299.75,86372.2
52,819.031,27567.4,1924.56,144091
53,724.605,23162.8,1449.36,93082.3
54,696.239,21405.7,1662.21,112413
55,643.471,19159.6,1307.68,75058.2
56,764.193,25565.7,1574.17,107824
57,695.709,23419.5,1528.56,101053
58,725.386,21925,1852.29,131395
59,881.038,30751,1242.45,80420.2
60,686.783,22514.8,1479.07,95114.4
61,765.845,25069.5,1476.09,97808.4
62,900.096,32399.8,1291.95,87311.3
63,671.207,20974.2,1563.27,102162
64,807.093,27821,1363.16,89264.1
65,779.871,26720.3,1276.97,79718.9
66,787.433,27008.3,1528.56,104837
67,597.385,16348.7,1411.74,82625.1
68,664.905,18656.6,1432.53,87130.1
69,653.93,19117.4,1537.47,97831.2
70,832.989,31129.6,1411.66,97302.9
71,897.334,33262.7,1353.25,94048.2
72,756.132,25823.8,1398.87,90986.6
73,797.861,27459.8,1544.4,106836
74,851.785,29063.4,1357.21,89887
75,849.556,28311.5,1571.13,110430
76,761.649,26138.9,1538.46,105034
77,763.687,24226.5,1611.72,110090
78,673.367,21655.3,1364.22,83134.4
79,786.715,28391.2,1626.57,115904
80,921.361,34102.3,1573.11,116360
81,685.949,23604.5,1326.3,81349.2
82,811.099,26643.1,1574.1,108765
83,819.315,28972.2,1561.29,109716
84,772.432,25476.8,1567.17,107223
85,709.255,24000.5,1638.45,112560
86,698.229,23629.9,1225.62,71447.3
87,687.714,23035.3,1596.87,107609
88,807.712,29118.8,1770.12,129991
89,744.341,25850.3,1233.54,74526.2
90,679.994,20253.9,1542.42,99525.8
91,764.235,23986.2,1405.8,89550.5
92,750.046,25173.8,1399.86,90107.7
93,624.958,18811,1733.49,116809
94,721.373,24133.5,1578.13,106692
95,669.76,19985.6,1624.69,106960
96,748.231,23841.2,1515.69,100366
97,894.707,32200.5,1452.33,102553
98,877.336,32000.9,1337.49,90900.3
99,705.432,23741.4,1448.37,93861.2
100,750.539,24238.7,1593.9,108585
101,765.239,25827.3,1547.42,105404
102,667.323,22054.8,1556.28,102467
103,825.432,27262.8,1734.48,125144
104,815.47,27895.2,1789.92,131178
105,726.042,23470.9,1481.05,96394.4
106,914.959,34153,1464.21,105351
107,761.288,27999.3,1383.03,91194.4
108,722.292,24121.6,1296.66,78925.1
109,792.057,24745.2,1478.07,97346.4
110,728.947,26127.2,1851.3,135404
111,773.409,28378.4,1423.62,95866.3
112,905.384,32701,1455.3,103289
113,657.577,19360.2,1539.45,98167
114,800.267,26568.5,1583.01,109725
115,765.817,25480.1,1620.63,112217
116,825.119,28831.9,1233.54,77756.2
117,852.989,29983.7,1450.35,100231
118,802.945,27891.4,1380.99,91195
119,809.848,28548.4,1650.45,118147
120,646.131,19207.6,1296.9,74259.7
121,754.901,24717.8,1469.16,96495.2
122,679.79,20607.6,1409.76,86704.9
123,703.156,21663.5,1493.91,95822.5
124,771.253,27226.2,1408.77,93241.8
125,709.66,21887,1491.93,95940.5
126,732.992,22975.2,1525.59,100544
127,889.568,31720.4,1720.62,128630
128,640.223,19583.5,1542.42,98631.8
129,733.955,23076.1,1507.77,98732.4
130,717.695,23500.2,1626.57,110754
131,744.503,26022.7,1406.7,91693.3
132,776.98,26985.2,1557.27,107602
133,610.036,17087.8,1287.87,71131
134,747.906,26117.8,1397.88,90957.5
135,736.227,23851.5,1496.88,98621.5
136,666.845,21913.7,1508.79,97244.4
137,825.981,29144.1,1364.22,91044.4
138,804.62,28983.8,1292.82,83749.3
139,848.711,30392.4,1107.32,66713.4
140,719.438,22200,1684.98,115342
141,676.793,20685.4,1496.88,95287.5
142,746.189,23413.7,1374.12,86066.1
143,803.929,26117.1,1391.94,90480.7
144,874.688,31828,1392.88,96290.7
145,838.547,29812,1465.2,100956
146,690.495,21687.7,1471.14,93961.2
147,773.067,27474.8,1422.63,95021.2
148,739.967,26122.1,1722.6,122832
149,731.312,23860.8,1302.84,79651.2
150,741.697,24321.9,1380.06,87543
151,769.658,25421.9,1412.69,91541.1
152,758.207,25200,1214.73,72084.3
153,824.734,29563.8,1685.97,122989
154,761.135,26699.6,1514.7,103069
155,762.696,27613.9,1331.55,86221
156,798.507,28333.2,1735.47,126345
157,541.602,17362.9,1437.48,86271.5
158,824.665,28578.3,1491.93,102837
159,818.783,27951.4,1583.01,111021
160,836.947,28179.1,1793.88,131930
161,814.64,28865.9,1323.53,86368
162,735.845,24221.2,1581.03,107005
163,672.523,20736.5,1463.22,91977
164,788.227,26038,1258.29,77199.4
165,704.241,21979.3,1623.6,108860
166,755.019,27442.8,1267.2,79425.2
167,880.978,31615.2,1280.8,84918.7
168,717.059,21515.8,1381.05,84714.1
169,678.171,21367.4,1608.75,107219
170,836.315,29430.7,1332.45,87581
171,768.979,25386.1,1077.12,59102.8
172,764.98,25783.3,1362.24,87326.1
173,759.638,25089.1,1607.76,110681
174,740.057,24620.5,1424.61,92091.4
175,822.659,27582,1411.74,93765.1
176,815.219,27285.7,1273.14,79847
177,813.969,28969.4,1296.9,84263.7
178,758.859,24271.5,1435.48,92878.3
179,723.743,24016.5,1347.31,84139.1
180,652.489,20945.7,1683,114017
181,660.681,20539.5,1308.78,76748.7
182,832.962,28559.5,1413.72,94969.3
183,576.231,15819.8,1462.23,87261.9
184,666.639,20168.2,1653.3,110212
185,813.513,27577.4,1473.12,100137
186,874.754,30687.6,1538.46,109610
187,772.745,25539.8,1192.95,70455.8
188,831.203,29382.6,1518.66,106145
189,676.951,21508.3,1484.01,95038.5
190,736.263,24854.9,1575.09,107564
191,701.475,21229.7,1474.11,93656.3
192,793.439,27115.3,1562.28,108213
193,595.356,16925.1,1606.77,102250
194,701.222,20645.7,1539.45,99481
195,735.827,25079.1,1424.58,92772.3
196,787.213,26698.9,1385.01,90254.7
197,595.565,18305.7,1317.59,74986.6
198,830.763,28582.5,1195.92,73528
199,798.241,26424,1623.7,113239
200,757.324,23805.6,1425.6,91342.5
201,689.343,20744.7,1621.62,107748
202,733.324,24091.9,1550.34,104233
203,686.05,22143.7,1288.98,76411.5
204,740.835,24304.9,1541.43,103325
205,618.802,18043.2,1377.09,81201.5
206,800.792,28184.1,1447.38,98048.2
207,711.7,22503.3,1421.64,89826.1
208,894.175,32278.1,1516.68,108783
209,706.803,21947,1333.53,80831.4
210,645.211,19312.2,1319.67,76722.3
211,790.912,27964.5,1516.68,104723
212,718.503,24918.2,1737.63,123029
213,839.225,27304.7,1249.38,77809.5
214,729.599,23817.6,1375.11,86613.2
215,680.291,20891.4,1447.38,90710.2
216,794.571,27297.5,1277.83,80264.9
217,761.31,23067.3,1464.21,94750
218,682.829,21863.5,1596.95,106362
219,806.099,27398.3,1288.98,81651.5
220,645.733,21145.5,1551.33,101254
221,762.312,27001.4,1229.58,75330.8
222,845.782,28124.1,1670.26,119810
223,731.89,24018.6,1220.67,71408.5
224,832.964,31345.4,1541.52,110137
225,716.474,22230.4,1117.47,59460
226,759.899,26671.3,1444.41,95843
227,612.983,18076.1,1382.97,81659.3
228,690.25,22392.9,1424.61,90033.4
229,752.051,25304.5,1490.94,99283.5
230,742.141,25206.6,1648.35,115004
231,910.419,32662.5,1656.39,122278
232,747.4,24817,1626.57,112260
233,758.929,25438.4,1310.76,81865.2
234,852.224,29054.4,1447.38,98884.2
235,791.413,25689.1,1422.63,92897.2
236,807.654,27503,1630.53,115284
237,708.193,23685.7,1440.45,92980.7
238,766.793,25923.3,1648.35,115388
239,889.69,30530.3,1859.22,140615
240,603.398,17674.5,1420.65,84919
241,749.76,22939.2,1427.58,90962.7
242,849.369,30693.8,1625.58,117946
243,624.339,20819.2,1662.21,111449
244,679.873,21605.4,1673.24,113417
245,835.811,30703.8,1155.89,71826.2
246,774.006,24622.7,1369.17,87050.2
247,716.022,22693.4,1344.42,82336.7
248,751.05,25659.5,1522.62,102633
249,836.905,31634.5,1117.98,68850.5
250,683.49,21522.4,1294.92,76483.1
251,645.453,21107.1,1576.15,103170
252,735.367,23549.5,1298.88,78868.2
253,626.037,20050.7,1662.21,111165
254,912.83,34892.4,1403.82,100526
255,735.793,23498.9,1485.99,96916.5
256,780.301,26517.1,1427.55,94023.6
257,483.011,11772.4,1442.43,81134.8
258,722.427,23311.8,1359.19,84275.4
259,765.575,25475.5,1556.34,106090
260,780.891,25083.6,1297.89,80444.9
261,720.294,23049.1,1317.69,80039.9
262,738.219,24337.6,1509.75,100338
263,840.819,28470.2,1420.65,95545
264,843.646,30895.3,1673.1,122813
265,661.928,19389.6,1703.79,114272
266,778.158,25350,1492.92,99497.5
267,620.737,17503.9,1508.76,93367.4
268,623.217,18544.2,1410.75,85018
269,758.331,25881.7,1549.45,105368
270,821.371,27692.5,1568.23,109227
271,893.664,31928.4,1428.57,99923.8
272,794.467,27629.3,1278.09,80849.4
273,718.041,24942.3,1494.9,99463.5
274,778.653,25310.2,1599.93,109939
275,764.702,25465.6,1451.34,95644.4
276,616.799,18120.4,1200.87,63871
277,768.634,26423,1620.73,113349
278,772.445,24289.2,1458.27,95191.7
279,713.766,22478.9,1479.06,95375.4
280,678.438,21275,1382.04,84667.3
281,707.325,23246.6,1402.78,88626
282,744.149,23469.1,1457.28,94030.7
283,809.675,26714.7,1086.03,61050.7
284,864.626,30329.4,1606.77,115908
285,735.081,23431.7,1312.74,80081.7
286,872.629,30923.6,1416.69,97864.7
287,682.531,21232.7,1246.41,71543.6
288,791.874,28173.2,1506.78,103777
289,856.903,30492.4,1287,84609
290,601.862,17801,1300.86,73084.7
291,883.715,31948.9,1502.82,107291
292,819.8,28932.8,1453.32,99080.5
293,742.471,24116.8,1808.73,129205
294,1026,40138,1279.81,93155.4
295,742.821,24919.6,1330.56,83563.8
296,746.366,23182.1,1324.62,80560.5
297,827.001,31043.1,1223.64,78924.6
298,752.139,25028.2,1402.83,90333.1
299,851.483,30051.2,1232.39,78471.5
300,705.264,23196.7,1624.69,110352
301,708.111,23379.9,1568.16,104888
302,844.305,29516.8,1406.79,95273.6
303,722.219,22519.8,1610.73,108335
304,694.099,22138.8,1323.63,79523.2
305,736.246,25315.1,1413.72,91873.3
306,881.279,32209.6,1567.17,113987
307,837.7,30451.1,1672.25,122386
308,621.85,18466.1,1627.56,105863
309,575.37,17142.6,1274.13,69780.3
310,760.177,24964,1303.72,80717.2
311,834.933,29523.5,1370.16,91723.4
312,853.867,30932,1378.08,93642.7
313,684.567,22134.2,1361.18,83551.7
314,869.44,31862.1,1603.98,117155
315,803.804,26833.7,1395.9,91589.2
316,695.406,22973.5,1574.1,104975
317,754.889,22837.4,1379.07,85713.8
318,696.977,23645.1,1482.04,96929.4
